time,MPI-ESM1-2-HR,MPI-ESM1-2-LR,CanESM5,MIROC6,IPSL-CM6A-LR,ACCESS-CM2,NorESM2-LM,GFDL-ESM4
1995-01-01,-3.7997131,10.545502,8.086853,-1.5958862,0.16378784,1.0917053,-3.4200134,-3.3703918
1995-01-02,-7.4466248,4.829315,5.6189575,-4.803131,-7.00943,-1.1827087,-0.5633545,4.9444275
1995-01-03,-7.653137,-0.81427,1.2138977,-4.057953,-8.036957,-3.2322693,1.2209473,4.8701477
1995-01-04,-5.104645,3.0709534,2.3948975,-2.3328247,-5.6433716,0.028961182,-7.9104614,-2.7639465
1995-01-05,-4.841217,0.516449,4.519928,-0.63757324,-1.4437256,-0.9283142,-1.9333801,-3.6595764
1995-01-06,-4.8520813,1.1192322,4.765686,1.0439453,0.8491211,4.986725,-5.4765015,-9.884308
1995-01-07,-2.0151367,4.429474,8.652344,2.992218,3.4656982,3.856842,-1.1775818,-7.415924
1995-01-08,-3.0002747,-2.4303284,13.485718,0.71502686,6.9786987,-5.3057556,3.076477,-7.798584
1995-01-09,-5.89328,-2.8676453,3.0462952,-1.1531372,5.7604065,-8.482269,5.971863,-12.917419
1995-01-10,-3.9895935,2.4300842,-1.8719482,-2.28302,-3.8580627,-5.2393494,11.797119,-10.774506
1995-01-11,-3.4706116,5.5863037,1.70755,-3.5012512,-6.119934,-9.520599,6.084503,-4.538025
1995-01-12,-10.512329,0.45785522,3.764679,-4.453705,-1.1667786,-7.892914,1.587677,-2.0184326
1995-01-13,-6.60791,-5.502411,0.39761353,-5.445862,-10.091827,-9.582367,0.16784668,-5.379822
1995-01-14,-0.6997986,-3.630066,0.99142456,-6.9501038,-6.3905334,-12.708099,0.3458557,-6.0151978
1995-01-15,-2.7827454,5.056305,6.110565,-8.385803,-2.2731934,-12.748383,-2.0864563,-6.341797
1995-01-16,-7.7342224,0.92630005,8.163544,-7.0113525,1.2851562,-10.059418,0.58413696,-2.6547852
1995-01-17,-6.3136597,-3.2313232,12.520355,-2.0882568,7.5471497,-14.490326,10.844025,-3.8249817
1995-01-18,-1.7351379,-3.304779,1.0011292,3.970337,-2.5274048,-14.346283,1.6243591,-7.3938293
1995-01-19,-2.3830261,1.882904,-1.1571045,0.23187256,-8.031128,-12.999603,-5.8910217,-6.1854553
1995-01-20,-4.3158875,0.23782349,4.7139893,-0.65686035,-4.863983,-16.083344,-4.8270874,0.6557312
1995-01-21,3.5074463,2.2027588,7.080261,-1.4884033,-2.4624329,-14.686615,-3.4693604,1.3513489
